,beta,h,logZ,magnetization,logZ_diff,magnetization_diff,magnetization_per_layer,ws_diff_total,ws_diff,ws_diff_normalized,iter,elapsed
0,0.44,0.0,0.9287151979171181,0.527062084420051,0.9287151979171181,0.527062084420051,"[5.04060621e-16 8.48990619e-16 2.02277852e-16 8.61863520e-16
 6.21992176e-04 4.78658770e-04 7.04454390e-03 8.18115583e-03
 6.40084043e-02 1.08736825e-01 1.86100301e-01 3.15433254e-01
 4.47490571e-01 5.15333372e-01 5.25120935e-01 5.27370108e-01
 5.27108580e-01 5.27016322e-01 5.27056490e-01 5.27062084e-01]",0.011709619575528303,"[0.         0.         0.         0.         1.09147626 1.89027245
 2.46358307 2.67280322 3.09858435 2.9418483  3.1217918  3.20654474
 3.40994974 3.37019862 3.51085709 3.42040559 3.62657929 3.70074081
 3.71404233 3.7220903 ]","[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 6.82172664e-02 5.90710141e-02 3.84934854e-02 2.08812751e-02
 1.21038451e-02 5.74579746e-03 3.04862480e-03 1.56569567e-03
 8.32507260e-04 4.11401198e-04 2.14285711e-04 1.04382495e-04
 5.53372083e-05 2.82344117e-05 1.41679471e-05 7.09932385e-06]",1.0,4.321578741073608
1,0.44,0.0,0.9287266200280302,0.3618797347979493,1.1422110912095995e-05,0.16518234962210165,"[5.04060621e-16 8.48990619e-16 2.02277852e-16 8.61863520e-16
 2.25955128e-04 1.23095775e-05 1.95503337e-04 2.89582566e-04
 1.10507741e-03 1.38962429e-03 8.96401828e-03 1.33574170e-02
 4.48126679e-02 8.14718262e-02 1.55005935e-01 2.63636035e-01
 3.33039777e-01 3.59230462e-01 3.61745446e-01 3.61879735e-01]",0.0005798753194037533,"[0.         0.         0.         0.         0.03714463 0.01856973
 0.1390178  0.24544121 0.53081663 0.19958794 0.36736161 0.27371273
 1.06990921 1.00354727 1.04952326 0.75109415 0.97136192 0.6572185
 1.14614688 2.62009116]","[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.32153915e-03 5.80304040e-04 2.17215308e-03 1.91750945e-03
 2.07350245e-03 3.89820192e-04 3.58751577e-04 1.33648794e-04
 2.61208304e-04 1.22503329e-04 6.40578160e-05 2.29215744e-05
 1.48218066e-05 5.01417924e-06 4.37220336e-06 4.99742730e-06]",2.0,4.4179582595825195
2,0.44,0.0,0.9287280692179807,0.13985082270093954,1.4491899504864847e-06,0.22202891209700978,"[5.04060621e-16 8.48990619e-16 2.02277852e-16 8.61863520e-16
 2.31774241e-04 8.73776416e-07 3.17055939e-04 6.65681415e-05
 1.14745144e-04 2.50389993e-04 1.01812928e-03 1.75702225e-03
 4.44942252e-03 8.89572274e-03 1.91403629e-02 3.62074622e-02
 7.49215402e-02 1.05950132e-01 1.33324115e-01 1.39850823e-01]",3.216748787924695e-05,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.08055284e-03 1.64057713e-03 3.00719860e-03 2.09405584e-02
 2.27871243e-02 1.23995559e-02 2.79821730e-02 1.09799794e-01
 8.84161530e-02 5.73899846e-02 1.26230174e-01 2.04948269e-01
 3.63103057e-01 9.65461914e-01 1.01046249e+00 2.44905907e+00]","[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 6.75345527e-05 5.12680354e-05 4.69874781e-05 1.63598113e-04
 8.90122044e-05 2.42178827e-05 2.73263408e-05 5.36131806e-05
 2.15859749e-05 7.00561336e-06 7.70447839e-06 6.25452482e-06
 5.54051296e-06 7.36588985e-06 3.85460849e-06 4.67120946e-06]",3.0,5.131500959396362
3,0.44,0.0,0.9287283418499198,0.02163751613173532,2.7263193913551476e-07,0.11821330656920423,"[5.04060621e-16 8.48990619e-16 2.02277852e-16 8.61863520e-16
 1.88825683e-04 2.55780725e-06 2.47998634e-04 2.71682808e-05
 2.13009067e-04 3.95374857e-05 5.62368567e-05 2.79290286e-04
 4.42856647e-04 1.49545719e-03 2.56728500e-03 5.28640073e-03
 9.65407799e-03 1.37542615e-02 2.06608673e-02 2.16375161e-02]",9.556852333923983e-06,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 7.92465779e-04 2.02200310e-03 7.28116703e-04 1.59560085e-03
 2.96841329e-03 3.01645937e-03 5.56978400e-03 7.51446639e-03
 1.03792554e-02 1.23020817e-02 2.20522401e-02 5.10413416e-02
 8.29713400e-02 8.69659936e-02 9.92022251e-01 2.81510091e+00]","[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 4.95291112e-05 6.31875969e-05 1.13768235e-05 1.24656317e-05
 1.15953644e-05 5.89152221e-06 5.43924219e-06 3.66917304e-06
 2.53399790e-06 1.50171895e-06 1.34596192e-06 1.55765813e-06
 1.26604217e-06 6.63497876e-07 3.78426457e-06 5.36937888e-06]",4.0,4.250784873962402
4,0.44,0.0,0.9287283718583466,0.008818966068637286,3.000842674349968e-08,0.012818550063098033,"[5.04060621e-16 8.48990619e-16 2.02277852e-16 8.61863520e-16
 1.64509236e-04 3.48721827e-06 1.79027520e-04 1.83602782e-05
 1.62032589e-04 1.44782890e-06 1.70660911e-04 3.66266621e-06
 1.54362274e-04 2.94899909e-04 5.56620883e-04 1.72690802e-03
 2.98676206e-03 4.75892059e-03 5.81590704e-03 8.81896607e-03]",7.638873827856953e-06,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 6.93876248e-04 1.91909354e-03 8.59860208e-04 3.03468716e-04
 1.51776205e-03 8.82548617e-04 2.21798736e-03 3.43102799e-03
 5.11360881e-03 6.89854585e-03 1.23887611e-02 6.61417835e-02
 1.19859662e-01 2.18538688e-02 3.16849283e-01 2.58620564e+00]","[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 4.33672655e-05 5.99716732e-05 1.34353158e-05 2.37084934e-06
 5.92875799e-06 1.72372777e-06 2.16600328e-06 1.67530663e-06
 1.24843965e-06 8.42107647e-07 7.56149968e-07 2.01848705e-06
 1.82891329e-06 1.66731787e-07 1.20868409e-06 4.93279578e-06]",5.0,4.150259256362915
5,0.44,0.0,0.9287283755264033,0.0027999156336426115,3.6680567472302528e-09,0.006019050434994675,"[5.04060621e-16 8.48990619e-16 2.02277852e-16 8.61863520e-16
 1.53260261e-04 3.28752157e-06 1.37530571e-04 1.59221464e-05
 1.13662479e-04 3.67253111e-06 1.31923191e-04 2.64391815e-05
 1.59388979e-04 9.15454317e-05 2.84380369e-04 9.52780410e-04
 1.89971395e-03 2.98241660e-03 4.17711685e-03 2.79991563e-03]",5.235442157287599e-06,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 5.82552324e-04 1.29743705e-03 5.68881423e-04 1.89275936e-04
 7.35110653e-04 5.54914873e-04 6.95892619e-04 1.37114868e-03
 1.68995056e-03 2.45759211e-03 3.96135875e-03 1.39347174e-02
 1.13190238e-02 7.76891836e-03 1.21908178e+00 2.59727221e+00]","[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 3.64095202e-05 4.05449078e-05 8.88877224e-06 1.47871825e-06
 2.87152599e-06 1.08381811e-06 6.79582636e-07 6.69506193e-07
 4.12585587e-07 2.99999037e-07 2.41782150e-07 4.25253826e-07
 1.72714597e-07 5.92721433e-08 4.65042792e-06 4.95390360e-06]",6.0,4.509392499923706
6,0.44,0.0,0.9287283690442816,0.0013139728796903072,6.482121728268453e-09,0.0014859427539523043,"[5.04060621e-16 8.48990619e-16 2.02277852e-16 8.61863520e-16
 1.43132641e-04 3.02807718e-06 1.06910202e-04 1.50441574e-05
 7.94208537e-05 3.16360978e-06 9.57634410e-05 3.19867676e-05
 1.37891828e-04 2.98621052e-06 4.42088381e-05 4.56354145e-04
 7.83345013e-04 1.57782722e-03 1.56486253e-03 1.31397288e-03]",3.96816437849535e-06,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 5.22039636e-04 8.74961997e-04 4.03846014e-04 2.13225002e-04
 3.79609347e-04 4.99665154e-04 2.93748967e-04 8.31057451e-04
 5.75892013e-04 8.81451743e-04 7.14093695e-04 6.26425088e-04
 3.04203810e-04 1.84183214e-03 1.13801177e+00 2.17771844e+00]","[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 3.26274772e-05 2.73425624e-05 6.31009396e-06 1.66582033e-06
 1.48284901e-06 9.75908505e-07 2.86864226e-07 4.05789771e-07
 1.40598636e-07 1.07599090e-07 4.35848202e-08 1.91169766e-08
 4.64178177e-09 1.40520640e-08 4.34117038e-06 4.15366828e-06]",7.0,5.3271684646606445
7,0.44,0.0,0.9287283719305865,0.00020542512866887963,2.88630497280451e-09,0.0011085477510214276,"[5.04060621e-16 8.48990619e-16 2.02277852e-16 8.61863520e-16
 1.33356762e-04 2.61162162e-06 8.61553212e-05 1.51824908e-05
 5.64739375e-05 6.96336131e-07 6.24496341e-05 1.87286913e-05
 8.35612216e-05 6.12457370e-06 3.53266518e-05 3.04632119e-04
 4.66860472e-04 1.04199264e-03 6.93346070e-04 2.05425129e-04]",2.726361578274579e-06,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 4.22094953e-04 5.05886712e-04 2.31236700e-04 1.95488416e-04
 1.57098780e-04 3.60175443e-04 9.77533505e-05 4.42795637e-04
 1.65163739e-04 2.93044961e-04 2.91364558e-04 3.04371716e-04
 2.44012970e-04 1.12600729e-03 7.20947662e-01 2.26742543e+00]","[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.63809346e-05 1.58089598e-05 3.61307344e-06 1.52725325e-06
 6.13667111e-07 7.03467662e-07 9.54622564e-08 2.16208807e-07
 4.03231784e-08 3.57720900e-08 1.77834813e-08 9.28868763e-09
 3.72334244e-09 8.59075386e-09 2.75019708e-06 4.32477079e-06]",8.0,4.182646036148071
8,0.44,0.0,0.9287283729026955,0.0008840596053107103,9.721089488934354e-10,0.0006786344766418306,"[5.04060621e-16 8.48990619e-16 2.02277852e-16 8.61863520e-16
 1.22194649e-04 2.30937700e-06 6.85113365e-05 1.47521434e-05
 4.10273090e-05 6.79515521e-08 4.68948144e-05 2.14607015e-05
 6.17350799e-05 1.53812635e-05 6.47618976e-05 2.08491370e-04
 4.92763803e-04 6.03311961e-04 5.59240024e-04 8.84059605e-04]",2.171959558897554e-06,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 3.73140896e-04 3.34457800e-04 1.60735253e-04 2.03897556e-04
 8.27489292e-05 3.00352818e-04 4.91845765e-05 3.08621522e-04
 7.53378276e-05 1.80170698e-04 1.94909727e-04 4.75137822e-04
 5.60537607e-04 4.42960973e-03 3.00264092e-01 2.36468144e+00]","[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.33213060e-05 1.04518062e-05 2.51148833e-06 1.59294966e-06
 3.23238005e-07 5.86626598e-07 4.80318130e-08 1.50694102e-07
 1.83930243e-08 2.19934935e-08 1.18963456e-08 1.45000556e-08
 8.55312511e-09 3.37952402e-08 1.14541661e-06 4.51027191e-06]",9.0,4.041579008102417
9,0.44,0.0,0.9287283722032716,0.001179823485794038,6.994238521684792e-10,0.00029576388048332773,"[5.04060621e-16 8.48990619e-16 2.02277852e-16 8.61863520e-16
 1.10290552e-04 2.02976365e-06 5.34832972e-05 1.41226617e-05
 2.90913785e-05 7.49496207e-07 3.51521745e-05 2.21839023e-05
 4.47277483e-05 2.39814462e-05 7.50574856e-05 1.50074968e-04
 4.04866757e-04 5.27059055e-04 5.73427669e-04 1.17982349e-03]",1.7746603700921283e-06,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 3.30523365e-04 2.27203517e-04 1.13698723e-04 2.03898389e-04
 4.56926808e-05 2.40055199e-04 2.64294511e-05 2.08946219e-04
 3.21110553e-05 8.64442164e-05 3.74864147e-05 6.93424585e-05
 1.78958860e-04 2.07901520e-03 7.25956396e-01 2.27324351e+00]","[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.06577103e-05 7.10010991e-06 1.77654255e-06 1.59295617e-06
 1.78487034e-07 4.68857810e-07 2.58100108e-08 1.02024521e-07
 7.83961310e-09 1.05522725e-08 2.28798918e-09 2.11616389e-09
 2.73069549e-09 1.58616272e-08 2.76930388e-06 4.33586790e-06]",10.0,4.0392186641693115
